asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B0CHFCJXNG,"1TB Type C Flash Drive 3.0 USB Flash Drive USB Memory Stick with Keychain Dual USB Thumb Drive Photo Stick Jump Drive for Smartphones, Computers, Tablets, PC Data Storage (1T)",https://m.media-amazon.com/images/I/414+Q+CB71L._AC_UL320_.jpg,https://www.amazon.com/dp/B0CHFCJXNG,5.0,0,21.99,0.0,55,False,0
B09FZ7BDYM,"TEAMGROUP C145 32GB 10 Pack USB 3.2 Gen 1 (3.1/3.0) USB Flash Thumb Drive, External Data Storage Memory Stick Compatible with Computer/Laptop (Black-Yellow) TC145332GY23",https://m.media-amazon.com/images/I/71Jkpb8sqfL._AC_UL320_.jpg,https://www.amazon.com/dp/B09FZ7BDYM,5.0,0,30.99,0.0,55,False,0
B0BTYLT9NN,50 Pack 128 MB USB 2.0 Flash Drives Bulk with Lanyards USB Thumb Drive Swivel Bulk with LED Light Swivel Pen Drive Jump Drive for Office School Data Storage Backup (128 MB),https://m.media-amazon.com/images/I/81TbVKsj4pL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BTYLT9NN,5.0,0,56.99,0.0,55,False,0
B0BPJQ7BVD,Tonies Rocky Audio Play Character from Paw Patrol,https://m.media-amazon.com/images/I/719QMGhabRL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BPJQ7BVD,5.0,0,17.99,0.0,224,False,300
B075467ZJD,"REXBETI Digital Caliper 6 Inch Measuring Tool Stainless Steel Inch/MM/Fractions, Electronic Vernier Calipers Gauge for Woodworking Jewelry, Polished Silver",https://m.media-amazon.com/images/I/71yAG3g4+kL._AC_UL320_.jpg,https://www.amazon.com/dp/B075467ZJD,4.6,0,25.99,0.0,150,True,300
B003OX9KME,"DEWALT Thickness Planer, Two Speed, 13-inch, 15 Amp, 20,000 RPM Motor (DW735X)",https://m.media-amazon.com/images/I/71-bj9tP+6L._AC_UL320_.jpg,https://www.amazon.com/dp/B003OX9KME,4.8,0,688.92,799.0,207,True,600
B0992L7SX2,"5-Inch Scroll Saw Blade Pin End Replacement for Wen 3921 3923, Dremel, Craftsman, Penn State, Delta, Ryobi and All 15in.and 16in.Scroll Saw - 48 Pack",https://m.media-amazon.com/images/I/51l1OXD6kKL._AC_UL320_.jpg,https://www.amazon.com/dp/B0992L7SX2,4.6,0,14.99,0.0,207,True,400
B08HMXC892,"40 Ounce (1200ml) Graduated Plastic Mixing Cups (Box of 24) - Use for Paint, Resin, Epoxy, Art, Kitchen, Cooking, Baking - Measurements in OZ. and ML, 4 Different Measuring Ratios 1:1",https://m.media-amazon.com/images/I/81lfiA3acQL._AC_UL320_.jpg,https://www.amazon.com/dp/B08HMXC892,4.7,0,19.99,0.0,10,True,300
B0BZVJB2VW,512GB USB C Flash Drive 2 in 1 OTG Type-C + USB 3.0 Thumb Drive Memory Stick,https://m.media-amazon.com/images/I/51mFD7sTFqL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BZVJB2VW,5.0,0,16.99,19.99,55,False,0
B0CCP3KS3S,50 Pack of Bulk USB Flash Drives 16GB EASTBULL USB 2.0 Flash Drives Pack USB Drives Bulk Thumb Drives in Bulk with 50 Strings (50PCS),https://m.media-amazon.com/images/I/71NqJmdgLNL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CCP3KS3S,5.0,0,126.88,0.0,55,False,0
